Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
2020-01-02,73.05943298339844,94.90049743652344,68.43399810791016,209.55764770507812,154.4938201904297,59.741241455078125,28.68400001525879
2020-01-03,72.34915161132812,93.74849700927734,68.07599639892578,208.44883728027344,152.5701141357422,58.7850227355957,29.534000396728516
2020-01-06,72.92564392089844,95.14399719238281,69.8905029296875,212.3746795654297,152.96446228027344,59.03154754638672,30.1026668548584
2020-01-07,72.5826644897461,95.34300231933594,69.75550079345703,212.8341827392578,151.56976318359375,59.7462158203125,31.270666122436523
2020-01-08,73.75023651123047,94.59850311279297,70.25199890136719,214.9918975830078,153.98403930664062,59.8582763671875,32.80933380126953
2020-01-09,75.31675720214844,95.05249786376953,70.989501953125,218.06863403320312,155.9077606201172,60.51567840576172,32.089332580566406
2020-01-10,75.48703002929688,94.15799713134766,71.447998046875,217.82887268066406,155.18637084960938,60.83940124511719,31.876667022705078
2020-01-13,77.09976196289062,94.56500244140625,72.00150299072266,221.6748046875,157.05239868164062,62.746849060058594,34.990665435791016
2020-01-14,76.05867004394531,93.47200012207031,71.52950286865234,218.82781982421875,155.94625854492188,61.57648849487305,35.861331939697266
2020-01-15,75.7326889038086,93.10099792480469,71.95999908447266,220.9156036376953,156.9562225341797,61.150672912597656,34.56666564941406
2020-01-16,76.68138122558594,93.89700317382812,72.50800323486328,221.5349578857422,159.83212280273438,61.987361907958984,34.232666015625
2020-01-17,77.53031921386719,93.23600006103516,73.97599792480469,221.90455627441406,160.7266845703125,62.07451248168945,34.03333282470703
2020-01-21,77.00489807128906,94.5999984741211,74.11250305175781,221.20530700683594,160.1495819091797,61.7408332824707,36.47999954223633
2020-01-22,77.27976989746094,94.37300109863281,74.19349670410156,221.08543395996094,159.3800811767578,62.281192779541016,37.97066879272461
2020-01-23,77.65193176269531,94.22899627685547,74.2344970703125,219.52706909179688,160.3611602783203,62.96598434448242,38.14666748046875
2020-01-24,77.42813873291016,93.08200073242188,73.30850219726562,217.70901489257812,158.74525451660156,62.373329162597656,37.654666900634766
2020-01-27,75.15135955810547,91.41699981689453,71.58650207519531,214.6422576904297,156.09051513671875,59.81344985961914,37.201332092285156
2020-01-28,77.27733612060547,92.6624984741211,72.5250015258789,217.5591583251953,159.1492462158203,61.74830627441406,37.793331146240234
2020-01-29,78.89493560791016,92.9000015258789,72.83499908447266,222.99339294433594,161.63084411621094,61.1431999206543,38.732666015625
2020-01-30,78.78060913085938,93.53399658203125,72.7125015258789,209.30792236328125,166.1900634765625,61.21043395996094,42.72066879272461
2020-01-31,75.2875747680664,100.43599700927734,71.63899993896484,201.6959991455078,163.73731994628906,58.87466049194336,43.371334075927734
2020-02-03,75.08080291748047,100.20999908447266,74.12999725341797,203.9735870361328,167.72901916503906,59.8458251953125,52.0
2020-02-04,77.55950164794922,102.4834976196289,72.27050018310547,209.60760498046875,173.25009155273438,61.539127349853516,59.137332916259766
2020-02-05,78.19194793701172,101.99349975585938,72.30249786376953,209.88731384277344,173.0384521484375,62.44304656982422,48.97999954223633
2020-02-06,79.1065673828125,102.5114974975586,73.79850006103516,210.62652587890625,176.62620544433594,63.31211471557617,49.930667877197266
2020-02-07,78.0312728881836,103.96399688720703,73.95549774169922,212.10494995117188,176.87631225585938,62.64973831176758,49.871334075927734
2020-02-10,78.40190887451172,106.69550323486328,75.43299865722656,212.8341827392578,181.5028076171875,65.48352813720703,51.41866683959961
2020-02-11,77.92887115478516,107.54000091552734,75.50299835205078,206.97039794921875,177.40530395507812,66.70868682861328,51.62533187866211
2020-02-12,79.77953338623047,108.0,75.93150329589844,210.53660583496094,177.66500854492188,67.86659240722656,51.15266799926758
2020-02-13,79.21139526367188,107.49349975585938,75.66950225830078,212.91409301757812,176.70318603515625,67.42832946777344,53.599998474121094
2020-02-14,79.23090362548828,106.74349975585938,75.9365005493164,213.95298767089844,178.28060913085938,72.16210174560547,53.33533477783203
